epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.417,2.45926,4.9285,2.35315,0.32418,0.12244,0.1272,0.03731,2.93686,3.64675,2.48593,0.000165049,0.000165049,0.000165049
2,352.152,2.08519,2.64501,2.01866,0.3973,0.45295,0.40296,0.12312,2.73329,2.1745,2.56602,0.000328431,0.000328431,0.000328431
3,399.841,2.02198,2.08706,1.9954,0.52881,0.47821,0.52211,0.20193,2.38548,2.14593,2.18249,0.000488514,0.000488514,0.000488514
4,447.464,1.971,1.83148,1.96118,0.52461,0.49634,0.50744,0.18163,2.56446,1.78885,2.36865,0.00048515,0.00048515,0.00048515
5,494.145,1.90192,1.6338,1.89415,0.79072,0.71378,0.76593,0.31752,2.0744,1.5092,1.98023,0.0004802,0.0004802,0.0004802
6,541.372,1.86932,1.53129,1.87472,0.72206,0.70573,0.76758,0.33139,2.11815,1.38322,1.99392,0.00047525,0.00047525,0.00047525
7,587.423,1.83545,1.49092,1.83635,0.68453,0.69244,0.73764,0.311,2.16572,1.4447,1.98733,0.0004703,0.0004703,0.0004703
8,633.427,1.80192,1.45081,1.83289,0.70745,0.75821,0.77523,0.32981,2.13971,1.25809,2.02056,0.00046535,0.00046535,0.00046535
9,679.692,1.77433,1.41672,1.80321,0.80007,0.76374,0.82341,0.37866,2.00892,1.27002,1.88515,0.0004604,0.0004604,0.0004604
10,726.336,1.77674,1.39346,1.80767,0.72077,0.79016,0.79515,0.31368,2.12915,1.18516,1.9861,0.00045545,0.00045545,0.00045545
11,771.198,1.73658,1.31122,1.7821,0.72408,0.82198,0.84648,0.40837,1.91005,1.15984,1.84758,0.0004505,0.0004505,0.0004505
12,819.904,1.71989,1.2785,1.75814,0.74311,0.70242,0.77421,0.32768,2.06655,1.3032,1.93303,0.00044555,0.00044555,0.00044555
13,866.579,1.70663,1.23773,1.75981,0.8303,0.83754,0.85953,0.36358,2.14753,1.11403,1.97617,0.0004406,0.0004406,0.0004406
14,912.982,1.68029,1.19138,1.72967,0.87496,0.7871,0.85549,0.41685,1.86294,1.05111,1.80325,0.00043565,0.00043565,0.00043565
15,961.93,1.66858,1.17557,1.71392,0.83562,0.81818,0.84723,0.39189,1.93862,1.1078,1.85304,0.0004307,0.0004307,0.0004307
16,1007.99,1.67606,1.17634,1.72254,0.74371,0.83511,0.83693,0.39759,1.89214,1.0659,1.82196,0.00042575,0.00042575,0.00042575
17,1053.78,1.66617,1.18376,1.71601,0.85783,0.83548,0.86819,0.42983,1.84932,1.01776,1.76585,0.0004208,0.0004208,0.0004208
18,1101.9,1.64318,1.12713,1.68883,0.81796,0.87178,0.87594,0.43653,1.85921,0.98385,1.78967,0.00041585,0.00041585,0.00041585
19,1151.52,1.62381,1.14561,1.69671,0.83509,0.85747,0.88485,0.44631,1.83021,0.95663,1.76243,0.0004109,0.0004109,0.0004109
20,1198.9,1.63139,1.11723,1.68579,0.80719,0.79585,0.83068,0.41063,1.8218,1.02951,1.75145,0.00040595,0.00040595,0.00040595
21,1245.38,1.60308,1.09117,1.66404,0.82576,0.87393,0.88509,0.44979,1.7734,0.92726,1.72613,0.000401,0.000401,0.000401
22,1294.28,1.57174,1.06898,1.64253,0.86885,0.85869,0.8904,0.45515,1.81263,0.92035,1.76505,0.00039605,0.00039605,0.00039605
23,1341.23,1.58727,1.07074,1.65697,0.81767,0.87687,0.87824,0.45069,1.77946,0.90919,1.71883,0.0003911,0.0003911,0.0003911
24,1386.61,1.57468,1.07049,1.65184,0.81607,0.87059,0.87292,0.45084,1.74881,0.89836,1.69025,0.00038615,0.00038615,0.00038615
25,1432.9,1.57096,1.03462,1.64145,0.80317,0.81636,0.87555,0.44303,1.77297,0.97485,1.72237,0.0003812,0.0003812,0.0003812
26,1478.72,1.55225,1.03661,1.65082,0.8177,0.87762,0.89168,0.46791,1.75487,0.8711,1.69832,0.00037625,0.00037625,0.00037625
27,1525.37,1.54535,1.0198,1.61507,0.87887,0.86781,0.90059,0.47737,1.70399,0.86691,1.66373,0.0003713,0.0003713,0.0003713
28,1572.15,1.53096,1.01948,1.62485,0.84567,0.85622,0.8859,0.4575,1.74703,0.87538,1.6953,0.00036635,0.00036635,0.00036635
29,1618.5,1.52332,0.99788,1.59568,0.85261,0.84203,0.87279,0.44015,1.7954,0.98851,1.7237,0.0003614,0.0003614,0.0003614
30,1664.19,1.51826,0.98045,1.59224,0.78345,0.83969,0.84307,0.38767,1.91101,0.99032,1.79204,0.00035645,0.00035645,0.00035645
31,1710,1.52458,0.97255,1.60321,0.87865,0.88285,0.90142,0.46157,1.76769,0.87103,1.69398,0.0003515,0.0003515,0.0003515
32,1755.01,1.49914,0.9559,1.57675,0.87615,0.87892,0.90062,0.47505,1.74482,0.84874,1.69133,0.00034655,0.00034655,0.00034655
33,1801.15,1.48956,0.98961,1.58638,0.86835,0.89143,0.9053,0.47904,1.74834,0.83733,1.68726,0.0003416,0.0003416,0.0003416
34,1848.13,1.46744,0.93498,1.56044,0.86528,0.88732,0.90479,0.46809,1.70245,0.84483,1.66464,0.00033665,0.00033665,0.00033665
35,1893.63,1.46683,0.94039,1.56302,0.84735,0.87744,0.89548,0.4743,1.69099,0.84626,1.64006,0.0003317,0.0003317,0.0003317
36,1939.09,1.4732,0.9352,1.57202,0.8677,0.89232,0.91021,0.48854,1.66526,0.80776,1.6464,0.00032675,0.00032675,0.00032675
37,1986.1,1.46448,0.92884,1.55843,0.8552,0.87971,0.89431,0.43387,1.79274,0.86738,1.71481,0.0003218,0.0003218,0.0003218
38,2032.16,1.47907,0.92049,1.56869,0.86875,0.895,0.90818,0.4896,1.69656,0.80417,1.66133,0.00031685,0.00031685,0.00031685
39,2078.25,1.46316,0.89695,1.56324,0.86344,0.90202,0.91655,0.50158,1.61601,0.77618,1.5912,0.0003119,0.0003119,0.0003119
