epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.94,2.45315,4.95148,2.33751,0.22952,0.21904,0.11625,0.04037,2.78115,3.40572,2.327,0.000165049,0.000165049,0.000165049
2,553.706,2.08571,2.62988,2.00828,0.37221,0.36112,0.32221,0.11286,2.48913,2.46573,2.14752,0.000328431,0.000328431,0.000328431
3,599.577,2.03378,2.06177,1.98749,0.46441,0.55032,0.50454,0.17687,2.41311,2.01969,2.20365,0.000488514,0.000488514,0.000488514
4,645.988,1.95973,1.81165,1.95878,0.57154,0.58106,0.59023,0.22703,2.29027,1.81204,2.10236,0.00048515,0.00048515,0.00048515
5,692.645,1.90266,1.63239,1.90845,0.7444,0.69481,0.75396,0.30451,2.26641,1.39788,2.11578,0.0004802,0.0004802,0.0004802
6,737.694,1.86482,1.54418,1.87417,0.69724,0.72495,0.7769,0.33308,2.10515,1.36784,1.95503,0.00047525,0.00047525,0.00047525
7,782.496,1.83113,1.47777,1.84275,0.68041,0.56438,0.6596,0.29213,2.12525,1.55004,1.96568,0.0004703,0.0004703,0.0004703
8,826.176,1.81407,1.43874,1.84153,0.77533,0.74187,0.81167,0.35532,2.15568,1.15544,1.99297,0.00046535,0.00046535,0.00046535
9,871.083,1.78333,1.41972,1.81161,0.80848,0.73482,0.80394,0.36511,1.9973,1.21691,1.88698,0.0004604,0.0004604,0.0004604
10,916.634,1.78213,1.3524,1.81092,0.8069,0.79809,0.8372,0.38634,2.0314,1.16216,1.90004,0.00045545,0.00045545,0.00045545
11,961.333,1.75261,1.29551,1.78589,0.69732,0.80706,0.83872,0.38962,1.95886,1.12565,1.86426,0.0004505,0.0004505,0.0004505
12,1006.59,1.71909,1.26094,1.76405,0.59538,0.62201,0.63416,0.2122,2.46982,1.42669,2.17464,0.00044555,0.00044555,0.00044555
13,1051.48,1.70936,1.23354,1.76364,0.81065,0.86046,0.86126,0.39169,2.0743,1.01504,1.9462,0.0004406,0.0004406,0.0004406
14,1097.57,1.67365,1.18106,1.72983,0.79711,0.86263,0.87044,0.42768,1.90022,0.98526,1.80875,0.00043565,0.00043565,0.00043565
15,1142.86,1.67288,1.17847,1.71649,0.82369,0.86584,0.88152,0.42784,1.90781,0.98209,1.81812,0.0004307,0.0004307,0.0004307
16,1187.42,1.67154,1.18734,1.72154,0.82498,0.84738,0.86177,0.42294,1.89916,0.99654,1.81624,0.00042575,0.00042575,0.00042575
17,1230.85,1.67195,1.18594,1.72068,0.79098,0.81834,0.85487,0.40379,1.92897,1.01415,1.84071,0.0004208,0.0004208,0.0004208
18,1273.72,1.65488,1.14327,1.69994,0.79896,0.78896,0.85394,0.4041,1.96749,1.18194,1.85217,0.00041585,0.00041585,0.00041585
19,1316.7,1.62602,1.14712,1.70017,0.79871,0.88252,0.88022,0.43481,1.85419,0.92048,1.76718,0.0004109,0.0004109,0.0004109
20,1361.05,1.61983,1.12252,1.67757,0.81684,0.80173,0.85613,0.42393,1.86737,1.00466,1.77021,0.00040595,0.00040595,0.00040595
21,1404.72,1.6165,1.10429,1.68159,0.84548,0.86956,0.87631,0.45434,1.79185,0.93366,1.72633,0.000401,0.000401,0.000401
22,1449.66,1.58134,1.05984,1.64957,0.82612,0.85477,0.87902,0.44365,1.8271,0.95103,1.74174,0.00039605,0.00039605,0.00039605
23,1492.7,1.58721,1.06604,1.65999,0.7994,0.83778,0.85642,0.42217,1.90881,1.0552,1.79108,0.0003911,0.0003911,0.0003911
24,1535.63,1.59517,1.06766,1.66462,0.89901,0.85069,0.88971,0.45156,1.77549,0.88384,1.70996,0.00038615,0.00038615,0.00038615
25,1578.93,1.57538,1.03744,1.645,0.78814,0.85525,0.87105,0.4354,1.84189,0.9553,1.75264,0.0003812,0.0003812,0.0003812
26,1622.47,1.55549,1.03149,1.65257,0.84532,0.87797,0.88503,0.44908,1.82682,0.88363,1.72313,0.00037625,0.00037625,0.00037625
27,1666.15,1.54182,1.01825,1.61657,0.84957,0.89116,0.89676,0.4708,1.74449,0.88482,1.66858,0.0003713,0.0003713,0.0003713
28,1711.91,1.5277,1.01872,1.61956,0.85631,0.87934,0.89186,0.45852,1.7909,0.87872,1.70421,0.00036635,0.00036635,0.00036635
29,1755.46,1.52,0.9869,1.59891,0.85453,0.88679,0.89586,0.45828,1.76305,0.88185,1.69513,0.0003614,0.0003614,0.0003614
30,1799.39,1.52119,0.98371,1.59316,0.83215,0.83856,0.86432,0.44991,1.79919,0.90115,1.73347,0.00035645,0.00035645,0.00035645
31,1843.09,1.54007,0.97871,1.61565,0.84654,0.86693,0.8889,0.45951,1.74838,0.87238,1.6642,0.0003515,0.0003515,0.0003515
32,1886.84,1.50322,0.95974,1.58191,0.8365,0.88778,0.89195,0.45932,1.78024,0.86232,1.68251,0.00034655,0.00034655,0.00034655
33,1930.09,1.49161,0.98243,1.5914,0.85739,0.89405,0.89612,0.48017,1.73256,0.81123,1.66224,0.0003416,0.0003416,0.0003416
34,1974.99,1.46996,0.93067,1.56576,0.82898,0.88686,0.89963,0.47975,1.71309,0.8207,1.65303,0.00033665,0.00033665,0.00033665
35,2018.99,1.46489,0.93492,1.55932,0.90681,0.86901,0.9053,0.4846,1.70527,0.78281,1.64067,0.0003317,0.0003317,0.0003317
36,2065.5,1.4706,0.93464,1.57933,0.83461,0.85396,0.87738,0.43153,1.84302,0.87297,1.7386,0.00032675,0.00032675,0.00032675
37,2109.99,1.45749,0.92576,1.55738,0.85619,0.8729,0.89652,0.46144,1.74394,0.85125,1.66533,0.0003218,0.0003218,0.0003218
38,2154.54,1.46696,0.91419,1.57026,0.87486,0.88825,0.90777,0.4861,1.71221,0.78071,1.65081,0.00031685,0.00031685,0.00031685
39,2201.2,1.46671,0.90779,1.57017,0.86555,0.88916,0.9052,0.4975,1.65554,0.77071,1.60961,0.0003119,0.0003119,0.0003119
40,2246.59,1.44702,0.90025,1.54385,0.87047,0.89562,0.9064,0.49083,1.69442,0.80121,1.63374,0.00030695,0.00030695,0.00030695
41,2290.44,1.43888,0.88637,1.5525,0.8668,0.91559,0.91484,0.50269,1.63804,0.7673,1.60277,0.000302,0.000302,0.000302
42,2335.3,1.43239,0.88722,1.54211,0.84663,0.88426,0.89729,0.47348,1.69834,0.82678,1.64919,0.00029705,0.00029705,0.00029705
43,2379.18,1.42425,0.89388,1.54372,0.87412,0.9143,0.91455,0.51228,1.62266,0.73106,1.59053,0.0002921,0.0002921,0.0002921
