epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2897,2.46269,4.99018,2.29104,0.37562,0.09449,0.07258,0.02255,2.54066,3.54687,2.29766,0.000165049,0.000165049,0.000165049
2,89.2907,2.09991,2.91918,2.02583,0.26183,0.22106,0.17101,0.05393,2.48793,2.7662,2.08601,0.000328431,0.000328431,0.000328431
3,134.429,2.06855,2.36749,2.01071,0.58181,0.26058,0.28648,0.09433,2.64894,2.98207,2.4366,0.000488514,0.000488514,0.000488514
4,179.267,2.00161,2.04707,1.95296,0.62022,0.5493,0.57158,0.18517,2.53569,1.86826,2.27971,0.00048515,0.00048515,0.00048515
5,222.839,1.93353,1.82652,1.90387,0.61546,0.54087,0.57787,0.17586,2.75127,1.9334,2.47055,0.0004802,0.0004802,0.0004802
6,265.428,1.90225,1.73928,1.87481,0.57711,0.54454,0.6245,0.2677,2.22562,1.92303,2.03133,0.00047525,0.00047525,0.00047525
7,309.392,1.8682,1.6738,1.85113,0.68257,0.66427,0.73473,0.29875,2.16363,1.48699,1.99756,0.0004703,0.0004703,0.0004703
8,353.313,1.82923,1.61259,1.82884,0.78173,0.42873,0.51424,0.17712,2.59138,2.08033,2.33109,0.00046535,0.00046535,0.00046535
9,395.748,1.80385,1.55112,1.79962,0.59287,0.47782,0.5274,0.21493,2.40991,2.11185,2.1486,0.0004604,0.0004604,0.0004604
10,438.262,1.80195,1.50556,1.80554,0.77069,0.76597,0.78974,0.30457,2.27019,1.27245,2.0559,0.00045545,0.00045545,0.00045545
11,481.98,1.77777,1.46113,1.79056,0.74764,0.7053,0.78537,0.34216,2.06319,1.30051,1.89138,0.0004505,0.0004505,0.0004505
12,526.958,1.74926,1.39054,1.76173,0.63222,0.67836,0.72165,0.3133,2.06511,1.51052,1.88783,0.00044555,0.00044555,0.00044555
13,569.528,1.74384,1.35401,1.76306,0.80286,0.7423,0.81048,0.31735,2.24261,1.27031,2.01542,0.0004406,0.0004406,0.0004406
14,612.273,1.70149,1.31299,1.73875,0.75041,0.78351,0.80038,0.32181,2.22157,1.19177,1.98944,0.00043565,0.00043565,0.00043565
15,655.121,1.71301,1.29811,1.72653,0.77972,0.76883,0.81967,0.3715,1.99219,1.11796,1.83303,0.0004307,0.0004307,0.0004307
16,699.637,1.70724,1.28019,1.72563,0.78573,0.82701,0.85116,0.41181,1.93539,1.04165,1.79269,0.00042575,0.00042575,0.00042575
17,743.717,1.69821,1.29423,1.72473,0.71886,0.64501,0.69466,0.30435,2.31,1.43399,2.02704,0.0004208,0.0004208,0.0004208
18,786.403,1.68912,1.24229,1.70376,0.80708,0.8306,0.84978,0.41254,1.91367,1.06603,1.79064,0.00041585,0.00041585,0.00041585
19,830.499,1.65031,1.23752,1.69525,0.8153,0.8391,0.87148,0.42666,1.84891,1.09558,1.74839,0.0004109,0.0004109,0.0004109
20,875.168,1.65141,1.21601,1.68804,0.79624,0.75099,0.81789,0.38846,1.92619,1.22734,1.8083,0.00040595,0.00040595,0.00040595
21,918.022,1.6446,1.18189,1.68358,0.81096,0.85156,0.87399,0.44765,1.80638,0.99945,1.72216,0.000401,0.000401,0.000401
22,962.065,1.60365,1.16841,1.65215,0.82926,0.86923,0.87791,0.44898,1.83258,0.95026,1.75463,0.00039605,0.00039605,0.00039605
23,1005.95,1.60993,1.15475,1.66023,0.82755,0.87649,0.87727,0.43432,1.89909,0.99123,1.77394,0.0003911,0.0003911,0.0003911
24,1048.54,1.62217,1.156,1.66802,0.80576,0.82363,0.85517,0.42813,1.84919,0.99126,1.73276,0.00038615,0.00038615,0.00038615
25,1090.99,1.59796,1.13821,1.64905,0.76814,0.80028,0.83212,0.421,1.859,1.07725,1.74003,0.0003812,0.0003812,0.0003812
26,1133.42,1.57831,1.12403,1.65576,0.80639,0.82044,0.83813,0.36386,2.08281,1.1461,1.88275,0.00037625,0.00037625,0.00037625
27,1176.1,1.5722,1.11025,1.62186,0.78171,0.76254,0.80769,0.39062,1.90455,1.14761,1.77411,0.0003713,0.0003713,0.0003713
28,1219.08,1.57354,1.11074,1.63877,0.8071,0.80486,0.83749,0.40536,1.91961,1.12419,1.77025,0.00036635,0.00036635,0.00036635
29,1261.8,1.56231,1.0801,1.61388,0.84696,0.88315,0.88556,0.44496,1.80306,0.90493,1.69858,0.0003614,0.0003614,0.0003614
30,1304.75,1.55417,1.07678,1.60398,0.82436,0.85358,0.8641,0.43736,1.83635,0.92454,1.72826,0.00035645,0.00035645,0.00035645
31,1347.64,1.56443,1.06143,1.62249,0.82618,0.86167,0.88893,0.44636,1.79456,0.95353,1.68017,0.0003515,0.0003515,0.0003515
32,1390.69,1.53722,1.04697,1.59115,0.85542,0.88861,0.89326,0.42918,1.88546,0.9217,1.76159,0.00034655,0.00034655,0.00034655
33,1433.06,1.51581,1.0571,1.59589,0.82132,0.89256,0.88657,0.4391,1.86862,0.88346,1.76358,0.0003416,0.0003416,0.0003416
34,1475.5,1.51055,1.00885,1.57793,0.71367,0.50894,0.55862,0.21857,2.38121,2.12014,2.11238,0.00033665,0.00033665,0.00033665
35,1517.63,1.50491,1.02328,1.57861,0.79704,0.88354,0.87955,0.44743,1.77026,0.94409,1.6877,0.0003317,0.0003317,0.0003317
36,1560.52,1.5149,1.01706,1.59948,0.80696,0.66126,0.74289,0.34374,2.0085,1.33196,1.83959,0.00032675,0.00032675,0.00032675
37,1603.26,1.50885,1.00854,1.58132,0.83244,0.87148,0.89275,0.46,1.74454,0.87658,1.67419,0.0003218,0.0003218,0.0003218
38,1647.22,1.50927,0.98907,1.57651,0.89941,0.87963,0.90752,0.48425,1.6943,0.82483,1.64072,0.00031685,0.00031685,0.00031685
39,1691.14,1.49237,0.98746,1.57256,0.84833,0.87815,0.89841,0.47271,1.77756,0.86206,1.67748,0.0003119,0.0003119,0.0003119
40,1733.93,1.47816,0.97778,1.56071,0.85114,0.90736,0.89629,0.44978,1.83365,0.82844,1.72122,0.00030695,0.00030695,0.00030695
41,1776.62,1.46705,0.96738,1.55746,0.84997,0.89229,0.89976,0.4573,1.81866,0.826,1.72103,0.000302,0.000302,0.000302
42,1819.23,1.47276,0.96768,1.55248,0.74173,0.70406,0.75581,0.3472,2.01477,1.2472,1.83571,0.00029705,0.00029705,0.00029705
43,1861.42,1.47066,0.97454,1.56027,0.85823,0.87666,0.89816,0.47251,1.74406,0.82111,1.65239,0.0002921,0.0002921,0.0002921
44,1903.91,1.45407,0.94619,1.5381,0.85494,0.90504,0.9078,0.47773,1.74458,0.7925,1.65383,0.00028715,0.00028715,0.00028715
45,1947.14,1.44295,0.93384,1.52122,0.86097,0.89548,0.90799,0.49267,1.71476,0.7884,1.6294,0.0002822,0.0002822,0.0002822
46,1991.16,1.46251,0.94766,1.53923,0.85784,0.88908,0.9033,0.48582,1.71042,0.79662,1.6311,0.00027725,0.00027725,0.00027725
47,2034.12,1.43969,0.94571,1.53443,0.84539,0.84206,0.87555,0.44003,1.8406,0.90978,1.72631,0.0002723,0.0002723,0.0002723
48,2077.29,1.45351,0.93033,1.53997,0.84884,0.91165,0.91456,0.49077,1.7077,0.78525,1.62947,0.00026735,0.00026735,0.00026735
49,2120.44,1.43541,0.90631,1.52342,0.85632,0.89041,0.89908,0.4787,1.75184,0.81765,1.65639,0.0002624,0.0002624,0.0002624
50,2163.52,1.42659,0.9218,1.53828,0.86323,0.90174,0.91539,0.48606,1.71789,0.7903,1.63924,0.00025745,0.00025745,0.00025745
51,2206.71,1.40835,0.89747,1.51474,0.87028,0.89096,0.91533,0.49671,1.74475,0.78368,1.65594,0.0002525,0.0002525,0.0002525
52,2250.95,1.41232,0.89555,1.51434,0.88396,0.8836,0.91133,0.48214,1.68576,0.77828,1.60767,0.00024755,0.00024755,0.00024755
53,2294.28,1.4111,0.90264,1.50108,0.88802,0.91026,0.91696,0.48561,1.73238,0.76193,1.64626,0.0002426,0.0002426,0.0002426
