epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1659.13,2.58821,5.11897,2.25898,0.90425,0.01957,0.07128,0.02721,2.21483,4.71615,1.7503,0.000165049,0.000165049,0.000165049
2,2435.17,2.02242,3.59626,1.68385,0.49882,0.40144,0.44393,0.19438,2.02897,3.43377,1.66668,0.000298875,0.000298875,0.000298875
3,3216.75,1.95295,2.55131,1.62496,0.7059,0.67492,0.7228,0.32879,1.90891,2.4907,1.59489,0.000399702,0.000399702,0.000399702
4,4004.9,1.84574,2.06831,1.55064,0.77343,0.67804,0.75882,0.36103,1.86571,2.30118,1.56904,0.0003515,0.0003515,0.0003515
5,4799.08,1.73604,1.77471,1.47408,0.79726,0.81007,0.82759,0.42483,1.76286,1.95638,1.52372,0.000302,0.000302,0.000302
6,5588.34,1.69692,1.62007,1.4567,0.83433,0.84904,0.86866,0.44325,1.70331,1.63798,1.46039,0.0002525,0.0002525,0.0002525
7,6382.26,1.64029,1.46685,1.40143,0.83362,0.83577,0.87017,0.44161,1.68344,1.60728,1.4397,0.000203,0.000203,0.000203
8,7180.04,1.57666,1.39867,1.36684,0.8689,0.86736,0.90384,0.48673,1.59746,1.41047,1.37883,0.0001535,0.0001535,0.0001535
9,7974.46,1.53359,1.29103,1.33845,0.88493,0.86388,0.90202,0.49799,1.56512,1.33956,1.36531,0.000104,0.000104,0.000104
10,8765.97,1.49246,1.25369,1.30762,0.8897,0.88893,0.91257,0.51095,1.51514,1.29585,1.33392,5.45e-05,5.45e-05,5.45e-05
