epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4857,2.46485,4.98212,2.35531,0.0779,0.16784,0.06274,0.02052,2.57936,3.57349,2.13344,0.000165049,0.000165049,0.000165049
2,89.6335,2.07586,2.74583,1.98975,0.44987,0.44709,0.3998,0.13437,2.36381,2.32118,2.03025,0.000328431,0.000328431,0.000328431
3,135.807,2.01566,2.15901,1.98921,0.57692,0.51801,0.55981,0.19369,2.30985,2.08762,2.0675,0.000488514,0.000488514,0.000488514
4,182.437,1.96788,1.88607,1.95699,0.41318,0.3091,0.27097,0.08192,2.73072,2.52359,2.46084,0.00048515,0.00048515,0.00048515
5,226.808,1.91018,1.72042,1.9002,0.64374,0.60748,0.66857,0.27504,2.16938,1.75924,2.00513,0.0004802,0.0004802,0.0004802
6,271.934,1.88687,1.61981,1.89098,0.5724,0.73775,0.74908,0.30631,2.14272,1.48982,2.03014,0.00047525,0.00047525,0.00047525
7,318.144,1.84287,1.55041,1.85097,0.55541,0.59234,0.6072,0.22626,2.32898,1.70136,2.11882,0.0004703,0.0004703,0.0004703
8,361.965,1.79804,1.48429,1.82215,0.70734,0.76932,0.79403,0.34696,2.04351,1.38123,1.94554,0.00046535,0.00046535,0.00046535
9,406.878,1.80775,1.44426,1.81538,0.69924,0.73109,0.77035,0.32812,2.07404,1.31523,1.91603,0.0004604,0.0004604,0.0004604
10,450.73,1.76556,1.3882,1.78908,0.76738,0.81661,0.83238,0.37826,1.99254,1.17503,1.89156,0.00045545,0.00045545,0.00045545
11,495.486,1.72806,1.34164,1.75923,0.74679,0.82723,0.83792,0.39128,1.93733,1.14105,1.83261,0.0004505,0.0004505,0.0004505
12,541.43,1.74239,1.3012,1.74866,0.73382,0.76542,0.78447,0.34795,2.01292,1.22323,1.86523,0.00044555,0.00044555,0.00044555
13,586.142,1.6988,1.25478,1.73446,0.81111,0.83663,0.86378,0.37458,2.05449,1.05412,1.91059,0.0004406,0.0004406,0.0004406
14,630.044,1.70044,1.23806,1.73817,0.77788,0.82513,0.85176,0.39061,1.96014,1.09169,1.84127,0.00043565,0.00043565,0.00043565
15,675.69,1.65896,1.19848,1.69737,0.82247,0.84,0.86973,0.42282,1.8654,0.98378,1.76357,0.0004307,0.0004307,0.0004307
16,720.412,1.68593,1.21079,1.70975,0.79694,0.81599,0.84276,0.40437,1.8761,1.06836,1.77018,0.00042575,0.00042575,0.00042575
17,764.136,1.66732,1.20741,1.70776,0.80581,0.84136,0.86948,0.39743,1.95371,0.97585,1.82697,0.0004208,0.0004208,0.0004208
18,808.471,1.65619,1.15647,1.67925,0.81226,0.86443,0.87382,0.43251,1.84192,0.99421,1.73314,0.00041585,0.00041585,0.00041585
19,852.977,1.63628,1.16305,1.67755,0.79338,0.84563,0.86476,0.41626,1.89865,1.05331,1.76968,0.0004109,0.0004109,0.0004109
20,896.789,1.61712,1.12467,1.66274,0.76212,0.81894,0.85496,0.41487,1.8926,1.01904,1.77726,0.00040595,0.00040595,0.00040595
21,941.701,1.59488,1.12953,1.65126,0.79016,0.80227,0.8388,0.3762,1.96748,1.06802,1.82036,0.000401,0.000401,0.000401
22,986.004,1.57393,1.08297,1.63164,0.79723,0.84038,0.85812,0.41358,1.90048,0.99983,1.76512,0.00039605,0.00039605,0.00039605
23,1030.29,1.59513,1.09136,1.64506,0.84873,0.89121,0.89457,0.45768,1.78671,0.92063,1.71542,0.0003911,0.0003911,0.0003911
24,1076.13,1.58801,1.08095,1.63977,0.76088,0.86795,0.87665,0.4359,1.84045,0.97287,1.7449,0.00038615,0.00038615,0.00038615
25,1120.52,1.56808,1.06306,1.6283,0.82734,0.86447,0.88923,0.45583,1.78742,0.90639,1.69061,0.0003812,0.0003812,0.0003812
26,1164.61,1.54291,1.03923,1.62337,0.79485,0.83437,0.86846,0.42228,1.92841,0.98287,1.80712,0.00037625,0.00037625,0.00037625
27,1208.62,1.54275,1.03328,1.5934,0.84168,0.89152,0.89785,0.45703,1.78858,0.86005,1.68711,0.0003713,0.0003713,0.0003713
28,1252.58,1.51925,1.01453,1.59522,0.8399,0.86154,0.88418,0.45115,1.80851,0.90798,1.69668,0.00036635,0.00036635,0.00036635
29,1296.07,1.53447,1.01528,1.59503,0.86084,0.8906,0.90209,0.45699,1.74051,0.85273,1.65774,0.0003614,0.0003614,0.0003614
30,1340.98,1.53551,1.00479,1.57896,0.81048,0.83386,0.85944,0.38942,1.96463,0.98188,1.82863,0.00035645,0.00035645,0.00035645
31,1384.9,1.53085,0.99525,1.59153,0.87083,0.85679,0.88547,0.42038,1.86389,0.91441,1.74654,0.0003515,0.0003515,0.0003515
32,1428.44,1.50767,0.99062,1.56774,0.84597,0.85784,0.87733,0.44489,1.8062,0.87596,1.6954,0.00034655,0.00034655,0.00034655
33,1472.81,1.49839,0.9936,1.57579,0.87104,0.89289,0.91115,0.47053,1.79497,0.82068,1.68902,0.0003416,0.0003416,0.0003416
34,1518.03,1.46927,0.95715,1.5418,0.85349,0.86901,0.90014,0.46339,1.77065,0.87197,1.68744,0.00033665,0.00033665,0.00033665
35,1561.57,1.47789,0.96849,1.54789,0.86016,0.87701,0.90436,0.4707,1.71214,0.84555,1.63277,0.0003317,0.0003317,0.0003317
36,1605.89,1.48376,0.95855,1.56091,0.85779,0.88935,0.89969,0.47339,1.73216,0.82054,1.64597,0.00032675,0.00032675,0.00032675
37,1650.71,1.46758,0.9442,1.54925,0.87207,0.88768,0.90803,0.48822,1.72522,0.81117,1.64875,0.0003218,0.0003218,0.0003218
38,1696.18,1.47864,0.93782,1.55373,0.86181,0.90733,0.9108,0.49284,1.72381,0.79295,1.65887,0.00031685,0.00031685,0.00031685
39,1741.92,1.47556,0.9351,1.55073,0.86182,0.89026,0.91289,0.49684,1.67086,0.76186,1.62375,0.0003119,0.0003119,0.0003119
40,1787.31,1.43679,0.91893,1.52441,0.84522,0.88146,0.89961,0.44376,1.81823,0.86473,1.7116,0.00030695,0.00030695,0.00030695
41,1831.54,1.42167,0.8975,1.51822,0.84107,0.84352,0.86342,0.42574,1.90694,0.89104,1.74586,0.000302,0.000302,0.000302
42,1875.47,1.4433,0.89351,1.51219,0.87086,0.88551,0.90111,0.49113,1.68943,0.79318,1.63113,0.00029705,0.00029705,0.00029705
43,1919.06,1.42282,0.90092,1.52567,0.88216,0.89903,0.91474,0.49814,1.68696,0.78801,1.62632,0.0002921,0.0002921,0.0002921
44,1964.16,1.42457,0.88531,1.50448,0.86637,0.89991,0.91532,0.48811,1.72587,0.76954,1.62901,0.00028715,0.00028715,0.00028715
45,2008.04,1.44099,0.88407,1.51086,0.83379,0.86328,0.89206,0.46455,1.77034,0.84416,1.67391,0.0002822,0.0002822,0.0002822
46,2051.48,1.41898,0.8803,1.50571,0.87531,0.8966,0.9144,0.494,1.65853,0.77955,1.60258,0.00027725,0.00027725,0.00027725
47,2095.99,1.39846,0.88109,1.50194,0.89173,0.91483,0.92359,0.50751,1.69777,0.76135,1.63444,0.0002723,0.0002723,0.0002723
48,2140.68,1.40762,0.87535,1.49938,0.89359,0.88574,0.91082,0.4844,1.69569,0.82065,1.6327,0.00026735,0.00026735,0.00026735
49,2183.86,1.40248,0.85863,1.49923,0.87618,0.90469,0.91532,0.50377,1.66921,0.76702,1.61117,0.0002624,0.0002624,0.0002624
50,2228.07,1.38639,0.85748,1.5036,0.89135,0.89566,0.91833,0.51456,1.64568,0.76036,1.60565,0.00025745,0.00025745,0.00025745
51,2272.95,1.38302,0.84908,1.492,0.87285,0.89831,0.91333,0.49474,1.70434,0.76638,1.61742,0.0002525,0.0002525,0.0002525
52,2316.29,1.36121,0.82415,1.47155,0.89423,0.90692,0.92602,0.51372,1.63104,0.7338,1.58798,0.00024755,0.00024755,0.00024755
